method_name,old_code,new_code,is_vulnerable
u
 
u
n
d
e
r
 
t
h
e
 ",1
DTDGrammar::QNameHashtable::put," 
i
n
t
 
T
O
P
_
L
E
V
E
L
_
S
C
O
P
E
 
=
 
-
1
;




 
 
 
 
/
/
 
p
r
i
v
a
t
e","_
S
C
O
P
E
 
=
 
-
1
;




 
 
 
 
/
/
 
p
r
i
v
a
t
e




 
 
 
 
/
*
*
 
C
h
u
n
k
 
s
h
i
f
t
 
(
8
)
.
 
*
/",1
DTDGrammar::QNameHashtable::get," 
 
 
 
/
*
*
 
C
h
u
n
k
 
s
h
i
f
t"," 
 
 
p
r
i
v
a
t
e
 
s
t
a
t
i
c
 
f",1
SoftReferenceSymbolTable::addSymbol,"l
e
 
d
i
s
t
r
i
b
u
t
e
d
 
w
i
t
h


 
*
 
t
h
i
s","l
e
 
d
i
s
t
r
i
b
u
t
e
d
 
w
i
t
h


 
*
 
t
h
i
s
 
w
o
r
k
 
f
o",1
SoftReferenceSymbolTable::rehashCommon,"T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e
 
t
o
 
Y
o
u
 ","o
u
 
u
n
d
e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i",1
SoftReferenceSymbolTable::addSymbol,"l
e
 
d
i
s
t
r
i
b
u
t
e
d
 
w
i
t
h


 
*
 
t
h
i
s","l
e
 
d
i
s
t
r
i
b
u
t
e
d
 
w
i
t
h


 
*
 
t
h
i
s
 
w
o
r
k
 
f
o",1
SymbolHash::put,"n
t
r
i
b
u
t
o
r
 
l
i
c
e
n
s
e
 
a
g
r
e","s
e
 
a
g
r
e
e
m
e
n
t
s
.
 
 
S
e
e
 
t
h
e
 
N
O
T
I
C
E
 
f
i",1
SymbolHash::hash,"c
o
p","A
S
F
 
l
i",1
SymbolHash::SymbolHash,"F
)
 "," 
m
o",1
SymbolHash::clear,"n
f
o
r
m
a","g
h
t
 
o
w
n",1
SymbolHash::rehash,"o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e
 
A
S
F
 ","t
o
 ",1
SymbolHash::makeClone,"o
r
 
a
d
d
i
t
i
o","r
e
g
a
r
d
i
n
g
 
c",1
SymbolTable::addSymbol," 
i
n
f
o
r
m
a
t
i
o
n
 
r
e
g
a
r
d
i
n
g
 ","i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e",1
SymbolTable::addSymbol," 
i
n
f
o
r
m
a
t
i
o
n
 
r
e
g
a
r
d
i
n
g
 ","i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e",1
SymbolTable::hash,"l
e
 ","V
e
r
s
i
o",1
SymbolTable::rehash,"s
e
,
 
V
e
r
s
i
o
n
 
2
.
0


 
*
 
(
t
h
e","e
 
e",1
SymbolTable::hash,"l
e
 ","V
e
r
s
i
o",1
SymbolTable::SymbolTable,"I
C
E
 
f
i
l
e
 
d
i
s
t
r
i
b
u
t
e
d","e
d
 
w
i
t
h


 
*
 
t
h
i
s
 
w
o
r
k
 ",1
XMLAttributesImpl::getTableViewBucket,"h
e
.","i
b
u",1
XMLAttributesImpl::addAttribute," 
i
n
f
o
r
m
a
t
i
o
n
 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e
 
t
o
 
Y
o
u
 
u
n
d
e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e"," 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e
 
t
o
 
Y
o
u
 
u
n
d
e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0


 
*
 
(
t
h
e
 
""
L",1
XMLAttributesImpl::prepareAndPopulateTableView,"p
l
 
c
l
a
s
s
 
i
s
 
a
n
 
i
m
p
l
e"," 
a
t",1
XMLAttributesImpl::getTableViewBucket,"h
e
.","i
b
u",1
XMLAttributesImpl::prepareAndPopulateTableView,"p
l
 
c
l
a
s
s
 
i
s
 
a
n
 
i
m
p
l
e"," 
a
t",1
XMLAttributesImpl::checkDuplicatesNS,"e
s
.
u
t
i
l
;




i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
x
e
r
c
e
s
.
x
n
i
.
A
u
g
m
e
n
t
a
t
i
o
n
s
;


i
m
p","c
h
e
.
x
e
r
c
e
s
.
x
n
i
.
A
u
g
m
e
n
t",1
XMLAttributesImpl::prepareTableView,"X
M
L
A
t
t
r
i
b","e
s
 
a
 
c
o
l
l
e
c
t",1
_pyfribidi_log2vis,"r
e
;
 
y
o
u
 
c
a
n
 
r
e
d
i
s
t
r
i
b
u
t
e
 
i
t
 
a
n
d
/
o
r"," 
t
h
e
 
t
e
r
m
s
 
o
f
 
t
h
e
 
G
N
U
 
G
e
n
e
r",1
_verify,"p
u
b
l
i
c
 ","i
s
 
n
o
t
 
a
v",1
generate,"#


#
 
 
O
r
i
g
i
n
a
l
l
y
 
w
r
i
t
t
e
n
 
b
y
:
 
A
.
M
.
 
K
u
c
h
l
i
n
g


#


#
 
=
=
=
=
=
=
=
=
=
=
=
=
=","#


#
 
 
O
r
i
g
i
n
a
l
l
y
 
w
r
i
t
t
e
n
 
b
y
:
 
A
.
M
.
 
K
u
c
h
l
i
n
g


#


#
 
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=",1
process_statistics,"u
g
i
n






d
e
f
 
a","r
.
P
l
u
g
i
n


f
r
o
m",1
async_run,"r
t
 
o
s


i
m
p","

i
m
p
o
r
t
 
B
c
f
g
2
.
S
e
r
v",1
async_run,"r
t
 
o
s


i
m
p","

i
m
p
o
r
t
 
B
c
f
g
2
.
S
e
r
v",1
match?,"



m","



m
o
d
u
l
e
 
P
u
p",1
munge_name,"c
l
a
s
s","h
o
r
i",1
request,"k
/
r
e
s
t","k
/
r
e
s
t
_
a
u",1
ExecuteAndWaitInterceptor::doIntercept,"s
h
i
p
.
 
 
T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e


 
*
 
t
o
 
y
o
u
 
u
n
d
e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 ","s
h
i
p
.
 
 
T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e


 
*
 
t
o
 
y
o
u
 
u
n
d
e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2",1
TokenSessionStoreInterceptor::handleInvalidToken,"e
e
m
e
n
t
s
.
 
 
S
e
e
 
t
h
e
 
N
O
T
I
C
E
 
f
i
l
e


 
*
 
d
i
s
t
r
i
b
u","e
e
m
e
n
t
s
.
 
 
S
e
e
 
t
h
e
 
N
O
T
I
C
E
 
f
i
l
e


 
*
 
d
i
s
t
r
i
b
u
t",1
TokenSessionStoreInterceptor::handleValidToken,"w
i
t
h
 
t
h
i","i
t
h
 
t
h
i
s
 ",1
TokenHelper::validToken,"t
h
 
t
h
i
s
 
w
o
r
k
 
f
o
r
 
a
d
d
i
t
i
o
n
a
l
 
i
n
f
o
r
m
a
t
i"," 
i
n
f
o
r
m
a
t
i
o
n


 
*
 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w",1
TokenHelper::setToken,"i
o
n","A
S
F",1
ParametersInterceptor::acceptableName,"i
n
 ","i
s
t
r",1
ParametersInterceptor::isAccepted,"r
i
t
i
n
g
,
 
s
o
f
t","d
 
u
n
d
e
r
 
t
h
e
 ",1
ParametersInterceptor::setAcceptParamNames,"t
h
i
s
 
f
i
l
e","t
 
i
n
 
c
o
m
p",1
__init__,"e
r
 
t
h
e
 
A
p
a
c
h
e"," 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,",1
set_multi,"s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


#


#
 
U
n
l
e
s
s
 
r
e","U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l
i
c
a
b
l
e
 
l
a
w
 ",1
get_multi,"u
i
r
e
d
 
b
y
 
a
p
p
l
i
c
a
b
l
e
 
l
a
w
 
o
r
 
a
g
r
e
e
d
 
t","r
 
a
g
r
e
e
d
 
t
o
 
i
n
 
w
r
i
t
i
n
g
,
 
s
o
f
t
w
a
r
e


#
 
d
i
s
t
r",1
get,"p
l
i
a
n
c
e
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.

","h
e
 
L
i
c
e
n
s
e
.


#
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c",1
__init__,"e
r
 
t
h
e
 
A
p
a
c
h
e"," 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,",1
set,"e
 
t
h
i
s
 
f
i
l
e
 
e
x
c
e
p
t
 
i
n
 
c
o","l
e
 
e
x
c
e
p
t
 
i
n
 
c
o
m
p
l
i
a
n
c
e
 
w
i
t
h
 ",1
__init__,"O
p
e
n
S
t
a
c
k
,
 
L
L
C
.


#","O
p
e
n
S
t
a
c
k
,
 
L
L
C
.


#


#
 
L
i
c
e
n
s
e
d
 
u
n
d
e",1
get," 
L
i
c
e
n
s
e"," 
L
i
c
e
n
s
e
d
 ",1
PortfolioPublishServlet::doGet,"t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c
o
n
t","t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c
o
n
t
r",1
Importer::loadExport,"l
i
e
d
,
 
i
n
c
l
u
d
i
n
g
 
t
h
e
 
i
m
p
l
i
e
d
 
w
a
r
r
a
n
t
i
e
s
 
o
f
 
M
E
R
C
H
A
N
T
A
B
I
L
I
T
Y
 
o
r
 
F
I
T
N
E
S
S


 
*
 
F
O
R
 
A
 
P
A
R
T
I
C
U
L
A
R
 
P
U
R
P
O
S
E
.
 
Y
o
u
 
s
h
o
u","i
e
d
,
 
i
n
c
l
u
d
i
n
g
 
t
h
e
 
i
m
p
l
i
e
d
 
w
a
r
r
a
n
t
i
e
s
 
o
f
 
M
E
R
C
H
A
N
T
A
B
I
L
I
T
Y
 
o
r
 
F
I
T
N
E
S
S


 
*
 
F
O
R
 
A
 
P
A
R
T
I
C
U
L
A
R
 
P
U
R
P
O
S
E
.
 
Y
o
u
 
s
h
o",1
XMLLoader::load," 
m
o
r
e


 
*
 
c
o
n
t
r
i
b
u
t
o
r
 
l
i
c
e
n
s
e
 
a
g
r
e
e
m
e
n
t
s
.
 
 
S
e
e
 
t
h
e
 
N
O
T
I
C
E
 
f","o
n
t
r
i
b
u
t
o
r
 
l
i
c
e
n
s
e
 
a
g
r
e
e
m
e
n
t
s
.
 
 
S
e
e
 
t
h
e
 
N
O
T
I
C
E
 
f
i
l
e
 
d
i
s
t
r
i
b
u
t",1
XMLLoader::init,"e
 
F
o
u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 ","u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r",1
AnnotatedLargeText::createAnnotator,"e
e
 
o
f
 
c
h
a
r
g
e
,
 
t
o
 
a
n
y
 
p
e
r
s
o
n","e
 
o
f
 
c
h
a
r
g
e
,
 
t
o
 
a
n
y
 
p
e
r
s",1
AnnotatedLargeText::writeHtmlTo,"o
p
y


 
*
 
o
f
 
t
h
i
s
 
s
o
f
t
w
a"," 
c
o
p
y


 
*
 
o
f
 
t
h
i
s",1
Job::getCharacteristicEnvVars,"a
s
s
o
c
i
a","s
s
o
c
i
a
t",1
SecurityRealm::SecurityComponents::createRememberMeService,"e
c
t
 
t
o
 
t","c
t
 
t
o
 
t
h
e
 
f
o
l
l
o
w
i
n",1
DefaultCrumbIssuer::DescriptorImpl::DescriptorImpl,"l
i
c
e","l
i
c
e
n",1
Secret::decrypt,"t
e
d
,
 
f
r
e
e
 
o
f
 
c
h
a
r","r
e
e
 
o
f
 
c
h
a
r
g
e
,
 
t
o
 
a",1
Secret::getEncryptedValue,"o
n
 
i
s
 
h
e
r
e
b
y","e
r
e
b
y
 
g
r
a
n
t",1
ApiTokenProperty::DescriptorImpl::newInstance," 
c
h","f
 
c",1
JnlpSlaveAgentProtocol::Handler::run,"t
 
h
u
d
s
o
n
.
r
e
m
o
t
i
n
g
.
C
h
a
n"," 
h
u
d
s
o
n
.
r
e
m
o
t
i
n
g
.
C
h
a
n
n
e
l
;",1
JnlpSlaveAgentProtocol2::Handler2::run,"t
 
h
u
d
s
o
n
.
T
c
p
S
l
a
v
e
A
g
e
n
t
L
i
s
t
e
n
e
r
.
C
o
n
n
e
c
t
i
o
n
F
r
o
m
C
u","t
 
h
u
d
s
o
n
.
T
c
p
S
l
a
v
e
A
g
e
n
t
L
i
s
t
e
n
e
r
.
C
o
n
n
e
c
t
i
o
n
F
r
o
m
C
u
r",1
ConfidentialStore::get,"

i
m
p","s
o
n
.
L
o
o
k
u
p
;


i
m
p
o
r
t
 
h
u
d
s
o
n
.
i",1
Jenkins::Jenkins," 
c
o","c
o
p",1
RekeySecretAdminMonitor::RekeySecretAdminMonitor,"d
s
o
n
.
c
o
n","d
s
o
n
.
c
o
n
s
o",1
Secret::tryDecrypt,"y
 
p
e
r
s
o
n
 
o","a
n
y
 
p
e
r
s
o
n",1
Secret::getLegacyKey,"i
s
s
i
o","r
m
i
s
s",1
ApiTokenProperty::ApiTokenProperty,"e
s
,","s
,
 ",1
ApiTokenProperty::getApiToken," 
*
 ","*
 
P
e
r
m
i
s
s",1
highlightTarget,"e
l
 
G
r
a
n
g
e
r
 
<
m","e
l
 
G
r
a
n
g
e
r
 
<
m
g
r",1
CreateID,"I
m
p
o
r
t
E
r
r
o","o
r
t
E
r
r
o
r
:

",1
CreateAuthenticator,"a
s
h
l
i
b
.
m
d
5


e
x
c
e
p
t","l
i
b
.
m
d
5


e
x
c
e
p
t
 
I
m",1
'should only print each format once with an exception',"S
u
p
p
o","s
e
r
:
:",1
BeanSelectionProvider::register,";
 
y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i
l
e
 
e
x
c
e
p
t
 
i
n
 
c
o
m
p
l
i
a
n
c
e


 
*
 
w
i
t
h
 
t",";
 
y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i
l
e
 
e
x
c
e
p
t
 
i
n
 
c
o
m
p
l
i
a
n
c
e


 
*
 
w
i
t
h
 
t
h",1
DefaultConfiguration::createBootstrapContainer,"e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*
 


 
*
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b","e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*
 


 
*
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y",1
XWorkConfigurationProvider::register,"c
t
o
r
y
;


i
m
p
o
r
t
 
c
o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
D
e
f
a
u
l
t
A
c
t
i
o
n
P
r
o
x
y
F
a
c
t","c
t
o
r
y
;


i
m
p
o
r
t
 
c
o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
D
e
f
a
u
l
t
A
c
t
i
o
n
P
r
o
x
y
F
a
c
t
o",1
OgnlUtil::getValue,"L
i
c"," 
*
 ",1
OgnlUtil::setValue,"b
t
a","p
y
 ",1
OgnlUtil::copy,".
a
p
a
c
h
e
.
o
r
g
/
l
i
c
e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*
 


 
*
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l","S
E
-
2
.
0


 
*
 


 
*
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l
i
c
a
b
l
e
 
l
a
w
 
o
r
 
a
g
r
e
e
d
 
t
o
 
i
n",1
OgnlUtil::compile,"t


 
*
 


 
*
 
 
 ","t
t
p",1
OgnlUtil::getValue,"L
i
c"," 
*
 ",1
OgnlUtil::compile,"t


 
*
 


 
*
 
 
 ","t
t
p",1
OgnlUtil::isEvalExpression," 
o
f
 
t
h
e","c
e
n
s
e
 
a
t


 
*
 ",1
do_user_password_update," 
R
e
s","R
e
s
e
r
v
e
d
.",1
Library::extract,"a
d
e
 
a
v
a
i
l
a
b
l
e
 
u
n
d
e
r
 
t
h
e
 
t
e
r
m
s
 
o
f
 
t
h
e
 
E","d
e
 
a
v
a
i
l
a
b
l
e
 
u
n
d
e
r
 
t
h
e
 
t
e
r
m
s
 
o
f",1
Library::exractAndLoad,"e
d
.
 
T
h
i
s
 
p
r
o
g
r
a
m
 
a
n
d
 
t
h
e
 
a
c
c
o
m","r
v
e
d
.
 
T
h
i
s
 
p
r
o
g
r
a
m
 
a
n
d
 
t
h
e
 
a
c
c
o
m
p",1
Library::extract,"a
d
e
 
a
v
a
i
l
a
b
l
e
 
u
n
d
e
r
 
t
h
e
 
t
e
r
m
s
 
o
f
 
t
h
e
 
E","d
e
 
a
v
a
i
l
a
b
l
e
 
u
n
d
e
r
 
t
h
e
 
t
e
r
m
s
 
o
f",1
DefaultUrlHelper::parseQueryString," 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e


 
*
 
""
L
i
c
e
n
s
e
""
)
;
 
y","h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e


 
*
 
""
L
i
c
e
n
s
e
""
)
;",1
DefaultUrlHelper::parseQueryString," 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e


 
*
 
""
L
i
c
e
n
s
e
""
)
;
 
y","h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e


 
*
 
""
L
i
c
e
n
s
e
""
)
;",1
DefaultActionMapper::parseNameAndNamespace,"i
a
n
c
e


 
*
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.
 
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c
o
p
y
 
o
f
 ","a
n
c
e


 
*
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.
 
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t",1
OgnlTextParser::evaluate,"o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
u
t
i
l
;




i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
c
o
m
m
o
n
s
.
l
a
n
g
3
.
S
t
r
i
n
g
U
t
i
l
s
;","o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
u
t
i
l
;




i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
c
o
m
m
o
n
s
.
l
a
n
g
3
.
S
t
r
i
n
g
U
t
i
l
s",1
DefaultActionMapper::cleanupActionName,"n
s
e
 
a
t


 
*


 ","a
t


 
*


 
*
 
 
h
t
t
p
:
/
/
w",1
DefaultActionMapper::parseNameAndNamespace,"i
a
n
c
e


 
*
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.
 
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c
o
p
y
 
o
f
 ","

 
*
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.
 
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t
h
e
 
L",1
OgnlTextParser::evaluate,"o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
u
t
i
l
;




i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
c
o
m
m
o
n
s
.
l
a
n
g
3
.
S
t
r
i
n
g
U
t
i
l
s
;","o
m
.
o
p
e
n
s
y
m
p
h
o
n
y
.
x
w
o
r
k
2
.
u
t
i
l
;




i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
c
o
m
m
o
n
s
.
l
a
n
g
3
.
S
t
r
i
n
g
U
t
i
l
s",1
__init__,"2
0
0
9
,
 
2
0
1
0","9
,
 
2
0
1
0
 
R
e
d
 
H
a
t
 
I
n
c
.


#
 
A
u
t
h
o
r
:
 
W
i",1
openattachment,"o
n
,
 
e
:


 
 
 
 
 
 
 
 
l","c
e
p
t
 
E
x
c
e
p
t
i
o
n
,
 
e
:


 
 
 
 
 
 
 
 
l
o
g",1
url_to_query," 
f
r
e
e
 
s
o
f
t
w
a
r
e
;
 
y
o
u
 
c
a
n
 ","t
e
 
i
t
 
a
n
d
/
o
r
 
m
o
d
i
f
y
 
i
t",1
connect," 
t
h
e
 
L
i
c
e
n
s
e
,
 
o
r
 
(
a
t
 
y
